pred_label,title,description,postDate
경제,"[포토]삼정KPMG, ‘베스트 가업승계 어드바이저’ 수상",지난 9월 5일 한국경제신문사 17층 영상회의실에서 열린 <상속 어드바이저 어워즈 2025> 시상식에서 ‘베스트 가업승계 어드바이저’ 상을 수상한 한원식 삼정KPMG 부대표(왼쪽)가 하영춘 한국경제매거진&북 대표와...,2025-09-08 06:02:00
사회,정진애 원주장애인종합복지관장 전국사회복지대회 대통령 표창,대통령 표창을 수상했다. 보건복지부는 5일 서울가든호텔에서 '기본이 튼튼한 복지강국'을 주제로 기념식을... 질 향상을 위해 꾸준히 헌신한 공로를 인정 받았다. 권혜민 기자 #정진애 #전국사회복지대회 #대통령 #표창 #원주,2025-09-08 00:06:00
사회,"강동경희대병원 조대진·배성수 교수, 성인 척추변형 합병증 연구 최우...",학술상)을 수상했다고 8일 밝혔다. 최우수 학술상은 세계적 학술지 ‘Neurospine’에 지난 1년간 게재된 논문... 수상 연구는 성인 척추변형 수술의 대표적 난제로 꼽히는 ‘말단 인접분절 실패증후군’의 발생률과...,2025-09-08 11:43:00
사회,"부천시여성회관, 설립 26년 만에 대통령 표창 '영예'","대통령 표창을 수상했다. 8일 회관에 따르면 부천시여성회관은 지난 1999년 설립된 이후 다양한 영역의 기관... 여성회관 관계자는 ""이번 대통령 표창 수상의 기쁨을 그동안 여성회관과 함께한 많은 기관·단체와 같이...",2025-09-08 16:00:00
사회,"강동경희대병원 조대진 교수팀, Asia Spine & NSC 2025 최우수 학술상","학술상을 수상했다. 이 상은 지난 1년간 국제 학술지 'Neurospine'에 게재된 논문 가운데 한국·일본·대만 저자의 우수 논문 각 1편씩, 총 3편에만 수여되는 상이다. 조 교수팀의 수상 논문 제목은 'Distal...",2025-09-08 11:32:00
사회,"생면부지 남에게 신장·간 기증하고 피도 나눴다...60대 목사 ""그래도 건...",""" 올해 '제8회 생명나눔 주간'(8~14일)을 맞아 보건복지부 장관 표창을 받은 이태조 예일교회 목사는 8일... 이씨는 ""이번 표창은 장기를 기증한 모든 분을 대표해 받는 것""이라며 ""내가 특별한 일을 했기 때문에 받은 것은...",2025-09-08 16:02:00
사회,"나주 청년기업 '페어리플레이', 남도 우리술 품평회 최우수상",전라남도 나주시는 지역 청년기업 ㈜페어리플레이(대표 이송미)가 개발한 배 스파클링 과실주 '이제:배로 만들다'가 '2025 남도 우리술 품평회'에서 2년 연속 최우수상을 수상하며 나주 농산물의 새로운 가치를 입증했다고...,2025-09-08 11:20:00
사회,"광주광역시, 온실가스 감축 ‘기업탄소액션’ 확대 추진",우수기업 표창과 현판을 수여한 후 기념촬영을 하고 있다. (사진=광주시) 광주시가 지역기업의 자발적... 선정된 ▲그린테크㈜ ▲오텍캐리어㈜ ▲아르네코리아㈜ 등 3개 기업에 대해 광주광역시장 표창과 현판을 수여했다.,2025-09-08 16:02:00
사회,"대전지방조달청, 지역 우수 조달기업에 조달청장 표창",미래화학·광희엔지니어링에 표창·격려 정학수 대전지방조달청장은 8일 지역 경제 활성화와 조달업무 발전에 기여한 중소기업 2개사를 상반기 지역 우수 조달기업으로 선정하고 조달청장 표창장을 전수했다. 이번에...,2025-09-08 16:17:00
사회,"대구 북구, '도시 어매너티'로 글로벌 도시브랜드 대상 수상","대상을 수상했다. 배광식 구청장의 ""도시 경쟁력은 어매너티(amenity)""에서 나온다는 12년 철학의 결실이기도... 대상을 수상했다. 북구는 앞서 국토교통부 주관 '도시재생 종합 성과 평가 경진대회'에서도 대상을 수상한 바...",2025-09-08 10:57:00
사회,"신장·간 기증한 이태조씨, 생명나눔 장관 표창",장기 기증 활성화와 생명나눔 문화 확산에 기여한 유공자 36명과 2개 기관이 장관 표창을 받았다. 이중... 복지부는 장기 기증 활성화와 생명나눔 문화 확산에 기여한 유공자 36명과 2개 기관에 장관 표창을 수여했다....,2025-09-08 16:17:00
사회,두 번의 장기기증… ‘이웃사랑’ 삶으로 증명하다,두 번의 장기 기증으로 생명 나눔의 가치를 몸소 실천한 이태조(67) 예일교회 목사가 8일 보건복지부로부터 생명나눔 유공자 표창을 받는다. “네 이웃을 네 자신 같이 사랑하라”(마 22:39)는 성경 가르침에 따라 전도사...,2025-09-08 03:04:00
사회,"바디채널 김효남 대표, 부천시장 표창장 수여",부천시장으로부터 표창장을 수여받았다. 바디채널은 2019년부터 ‘바디채널 건강캠페인’을 통해 부천시... “이번 표창장을 수여받게 되어 영광이며 앞으로도 선한 영향력을 전달할 수 있도록 건강캠페인을...,2025-09-08 15:26:00
사회,"쿠팡플레이, 콘텐츠 아시아 어워즈 3관왕 달성, SNL 코리아 4년 연속 수...",'SNL 코리아' 시즌 5·6은 '베스트 코미디 쇼' 부문을 동시에 수상하며 4년 연속 수상이라는 기록을 세웠다. 쿠팡플레이 측은 시즌마다 과감한 풍자와 패러디로 대한민국의 트렌드를 이끌어온 SNL 코리아가 이제 아시아...,2025-09-08 14:28:00
사회,"창녕군새마을부녀회, '사회복지의 날' 경상남도의회 의장 표창 수상","표창을 수상했다고 8일 밝혔다. 창녕군새마을부녀회는 2008년 복지관 개관 이후 17년간 김장 나눔, 계절 특식... 김성길 관장은 ""새마을부녀회의 봉사활동은 지역사회와 함께 성장해 온 모범 사례""라며 ""이번 수상은...",2025-09-08 14:15:00
사회,가족도 아닌데 신장-간 기증…이태조 목사 복지부 장관 표창,장관 표창을 받은 이태조 경북 상주 예일교회 담임목사(64)는 장기기증을 결심한 이유에 대해 이같이 말했다.... 공로로 표창을 받았다. 이 목사는 1993년 장애인 시설 봉사 활동을 하다가 신장 투석을 받는 17세 농아의 병원...,2025-09-08 14:39:00
사회,"현대로템, ‘순환경제 선도기업’ 대통령 표창 수상",현대로템은 지난 5일 ‘제19회 순환경제 선도기업 대상’에서 대통령 표창을 받았다고 8일 밝혔다. 이 상은 환경부 산하 한국환경공단이 주관해 산업 폐기물 감량과 재활용 활성화로 지속 가능한 산업 생태계를...,2025-09-08 13:32:00
사회,"충남교육청, 전국상업경진대회 최다 메달 수상",메달을 수상하는 등 우수한 성적을 거뒀다. 충남교육청 제공 충남교육청은 교육부가 주최하고 경상북도교육청이 주관한 '제15회 전국상업경진대회'에서 전국 최다 메달을 수상하는 등 우수한 성적을 거뒀다고 8일...,2025-09-08 13:28:00
사회,생면부지 타인에 두 차례 장기기증…이태조 목사 장관 표창,장관 표창을 수여했다. 경북 상주 예일교회 목사로 재직하며 지적장애인 예배 공동체를 이끄는 이씨는... 기관 부문에서 표창을 받은 경기 안산시 상록수보건수는 2023년 조례를 전면 개정해 위로금 지급과 장사시설...,2025-09-08 15:05:00
사회,"충주문화도시센터, '2025 문화도시 박람회' 참가… 장관상 등 수상 영예",각종 수상의 영예를 안았다. 충주시와 문화관광재단은 지난 4일부터 7일까지 서울 여의도공원에서 진행된... 각각 수상하며 문화도시센터의 성과가 높은 평가를 받았다. 충주시는 이번 박람회 참가를 통해 온천 관광과...,2025-09-08 13:02:00
사회,"국립부경대 강동환 박사, 한국습지학회 논문상 수상",블루카본 연구 성과 인정받아 2년간 학회지에 5편 논문 발표 인더뉴스 제해영 기자ㅣ국립부경대학교 지질환경연구소 강동환 박사(전임연구원)가 2025 (사)한국습지학회 논문상을 수상했다고 8일 밝혔습니다. 강 박사는...,2025-09-08 12:48:00
사회,"숭실대 이동훈 교수 연구실 대학원생, 'ICT 챌린지 2025' 장관상 수상","장관상을 수상했다. 'ICT 챌린지'는 △대학ICT연구센터사업 △지역지능화혁신인재양성사업... 올해 7회째를 맞은 이번 대회에는 전국 38개 대학, 81개 센터에서 206개 팀(총 618명)이 참가했으며, 이 가운데 16개 팀이 수상...",2025-09-08 12:40:00
사회,"용인시 동백2동, '경기도 주민자치 문화경연대회 '최우수상'",용인특례시 기흥구 동백2동 주민자치위원회는 3일 2025년 경기도 주민자치 문화 경연대회 '장끼한마당'에서 최우수상을 수상했다 용인특례시 기흥구 동백2동 주민자치위원회는 3일 경기아트센터 대극장에서 열린 '2025년...,2025-09-08 10:42:00
사회,"뷰티 브랜드 코링코(CORINGCO) 조휴갑 대표, '사회복지의 날' 노원구청 ...",유공 표창을 수상했다. 이번 수상은 지역사회 복지 증진에 기여한 개인 및 기업에게 수여되는 상으로... 이러한 지속적인 사회공헌 활동이 이번 노원구청 사회복지 유공 표창으로 이어졌다. 코링코 조휴갑 대표는...,2025-09-08 16:18:00
사회,제 15회 새마을의 날 기념식 개최,지역사회 봉사 의지를 다지는 제 15회 새마을의 날 기념식이 열렸습니다. 오늘 행사에서는는 지역사회 봉사에 헌신한 유공자 표창 수여에 이어 청포항 해변과 근처 쌀섬 일대 쓰레기 수거 활동 실시 등이 진행됐습니다.,2025-09-08 18:26:00
사회,"반현섭 청주시 팀장, 서민금융진흥원장 표창",반현섭 충북 청주시 경제일자리과 소상공인지원팀장이 8일 서민금융진흥원장 표창을 받았다. 반 팀장은 지역 내 저신용·저소득 소상공인을 위한 대출이자 지원사업 확대와 홍보 활동을 통해 서민금융 인식 제고에...,2025-09-08 22:44:00
사회,"삼보모터스㈜, 산업맞춤형 공동훈련센터 성과평가 '최우수기관' 선정","- ""지역 자동차 부품 산업 지속 가능한 성장 적극 돕겠다"" 삼보모터스 기술연수원이 한국산업인력공단이 주관하는 2025년도 제16회 Best of CHAMP Day에서 성과평가 최우수기관으로 선정돼 한국산업인력공단 이사장 표창을...",2025-09-08 22:28:00
사회,"한국건설생활환경시험연구원(KCL), 중기부 주최 '중소기업 기술·경영혁...",한국건설생활환경시험연구원(KCL)은 중소벤처기업부가 주최한 '2025년 중소기업 기술·경영 혁신대전'에서 대통령 표창을 수상했다고 8일 밝혔다. 산학연 협력을 통한 중소기업 대상 기술 지원 및 수출 확대 등의 공로를...,2025-09-08 22:26:00
사회,"근로복지공단, 고용보험 제도 30주년 맞아 국무총리 표창 수상",근로복지공단(이사장 박종길)은 8일 고용노동부가 주관한 고용보험 30주년 기념식에서 고용보험 제도의 발전과 사각지대 해소에 기여한 공로를 인정받아 국무총리 표창을 수상했다. 공단은 1999년 고용보험 적용·징수...,2025-09-08 20:53:00
사회,GGM 누적 생산 20만대 돌파…지역경제 ‘활력’,유공자 표창식 참석자들과 함께 기념촬영을 하고 있다.<광주시 제공>광주글로벌모터스(GGM)가 누적 생산... 광주시는 8일 시청 비즈니스룸에서 ‘캐스퍼 20만대 양산 기념 근무유공자 표창 수여식’을 열었다. 이날...,2025-09-08 20:48:00
사회,"생명나눔실천 부산본부장 심산스님(홍법사 주지), 보건복지부 장관 표창","장관 표창을 받았다. 보건복지부는 8일 서울 서초구 엘타워 오르체홀에서 ‘제8회 생명나눔 주간 기념식’을... 올해 장관 표창은 장기·조직 기증자 발굴과 기증 문화 확산에 기여한 기관과 개인 40명에게 수여됐으며, 그...",2025-09-08 20:30:00
사회,"김진경 의장, 시흥 공동체 리더 표창… ""지역 발전의 숨은 원동력""","유공 표창을 수여했다. 이번 표창은 경기도의회 제69주년 개원 기념식을 맞아 수여된 것으로, 행정의 손길이 미치지 못하는 현장에서 묵묵히 주민 목소리를 대변하고 공동체의 온기를 지켜온 두 인물의 헌신을 기리기 위해...",2025-09-08 20:04:00
